Zeit[h],Leistung[%]
48.81763527054108,88.7677056879623
49.098196392785574,89.05842211567362
49.37875751503006,89.35019158735467
49.65931863727455,89.6430141030055
49.93987975951904,89.93688966262606
50.22044088176353,90.23181826621635
50.501002004008015,90.52779991377642
50.78156312625251,90.82483460530622
51.06212424849699,91.12292234080576
51.342685370741485,91.42206312027508
51.62324649298597,91.7222569437141
51.90380761523046,92.02350381112292
52.18436873747495,92.32580372250148
52.46492985971944,92.62915667784975
52.745490981963925,92.93356267716779
53.02605210420842,93.23902172045558
53.3066132264529,93.54553380771311
53.587174348697395,93.8530989389404
53.86773547094188,94.16171711413743
54.14829659318637,94.47138833330422
54.428857715430865,94.78211259644075
54.70941883767535,95.09388990354701
54.98997995991984,95.40672025462305
55.27054108216433,95.71717743737321
55.55110220440882,96.02132295261546
55.831663326653306,96.31915210047013
56.1122244488978,96.6106648809372
56.392785571142284,96.89586129401665
56.673346693386776,97.1747413397085
56.95390781563126,97.44730501801277
57.234468937875754,97.71355232892942
57.51503006012024,97.97348327245847
57.79559118236473,98.22709784859993
58.07615230460922,98.4743960573538
58.35671342685371,98.71537789872006
58.637274549098194,98.9500433726987
58.91783567134269,99.17839247928977
59.19839679358717,99.40042521849321
59.478957915831664,99.61614159030908
59.75951903807615,99.82554159473732
60.04008016032064,100.02862523177798
60.320641282565134,100.22539250143106
60.60120240480962,100.4158434036965
60.88176352705411,100.59997793857436
61.1623246492986,100.77779610606459
61.44288577154309,100.94929790616727
61.723446893787575,101.11448333888231
62.00400801603207,101.27335240420973
62.28456913827655,101.4259051021496
62.565130260521045,101.57214143270186
62.84569138276553,101.71206139586648
63.12625250501002,101.84592984858183
63.40681362725451,101.97570215441694
63.687374749499,102.10177396385987
63.967935871743485,102.22414527691066
64.24849699398797,102.34281609356928
64.52905811623246,102.45778641383569
64.80961923847696,102.56905623770996
65.09018036072145,102.67662556519205
65.37074148296593,102.78049439628201
65.65130260521042,102.88066273097975
65.93186372745491,102.97713056928536
66.2124248496994,103.06989791119881
66.4929859719439,103.15896475672007
66.77354709418837,103.24433110584917
67.05410821643287,103.32599695858609
67.33466933867736,103.40396231493088
67.61523046092185,103.47822717488344
67.89579158316633,103.54879153844388
68.17635270541082,103.61565540561213
68.45691382765531,103.67881877638823
68.7374749498998,103.73828165077215
69.01803607214428,103.7940383166122
69.29859719438878,103.84454028715531
69.57915831663327,103.88857736196566
69.85971943887776,103.92614954104324
70.14028056112224,103.95725682438804
70.42084168336673,103.9818992120001
70.70140280561122,104.00007670387936
70.98196392785572,104.01178930002588
71.2625250501002,104.01703700043963
71.54308617234469,104.01581980512063
71.82364729458918,104.00813771406885
72.10420841683367,103.99399072728428
72.38476953907816,103.97337884476698
72.66533066132264,103.94630206651692
72.94589178356713,103.91276039253405
73.22645290581163,103.87275382281844
73.50701402805612,103.82628235737008
73.7875751503006,103.77334599618895
74.06813627254509,103.71394473927505
74.34869739478958,103.64807858662837
74.62925851703407,103.57653231894662
74.90981963927855,103.50484047700976
75.19038076152304,103.43407834383488
75.47094188376754,103.36424591942202
75.75150300601203,103.29534320377117
76.03206412825651,103.22737019688229
76.312625250501,103.16032689875543
76.59318637274549,103.09421330939055
76.87374749498998,103.0290294287877
77.15430861723446,102.96477525694682
77.43486973947896,102.90145079386797
77.71543086172345,102.8390560395511
77.99599198396794,102.77759099399624
78.27655310621243,102.71705565720337
78.55711422845691,102.65745002917251
78.8376753507014,102.59877410990366
79.1182364729459,102.54102789939678
79.39879759519039,102.48421139765192
79.67935871743487,102.42831580451008
79.95991983967936,102.37330965626495
80.24048096192385,102.31919015118056
80.52104208416834,102.26595728925699
80.80160320641282,102.21361107049414
81.08216432865731,102.16215149489207
81.3627254509018,102.11157856245072
81.6432865731463,102.06189227317017
81.92384769539078,102.01309262705041
82.20440881763527,101.96517962409138
82.48496993987976,101.91815326429312
82.76553106212425,101.87201354765556
83.04609218436873,101.8267604741788
83.32665330661322,101.78239404386285
83.60721442885772,101.73891425670763
83.88777555110221,101.69632111271316
84.1683366733467,101.65461461187945
84.44889779559118,101.61379475420651
84.72945891783567,101.57386153969435
85.01002004008016,101.53481496834293
85.29058116232466,101.49665504015229
85.57114228456913,101.45938175512241
85.85170340681363,101.42299511325328
86.13226452905812,101.38749511454488
86.41282565130261,101.3528817589973
86.69338677354709,101.31915504661046
86.97394789579158,101.28631497738436
87.25450901803607,101.25436155131904
87.53507014028057,101.22329476841449
87.81563126252505,101.19311462867068
88.09619238476954,101.16382113208763
88.37675350701403,101.1354142786654
88.65731462925852,101.10789406840385
88.937875751503,101.0812605013031
89.21843687374749,101.05551357736313
89.49899799599199,101.03065329658392
89.77955911823648,101.00667965896544
90.06012024048097,100.98359266450774
90.34068136272545,100.9613923132108
90.62124248496994,100.94007860507463
90.90180360721443,100.91965154009921
91.18236472945893,100.90011111828457
91.4629258517034,100.88145733963067
